Mean HR,Minimum HR,Maximum HR,Mean SBP,Minimum SBP,Maximum SBP,Mean DBP,Minimum DBP,Maximum DBP,Mean MAP,Minimum MAP,Maximum MAP,Mean RR,Minimum RR,Maximum RR,Mean Temperature,Minimum Temperature,Maximum Temperature,Mean PO2,Minimum PO2,Mean PCO2,Minimum PCO2,Maximum PCO2,Mean FiO2,Minimum FiO2,Maximum FiO2,Mean Base Excess,Minimum Base Excess,Maximum Base Excess,Mean RBC,Maximum Hemoglobin,Mean RDW,Mean MCH,Mean MCV,Mean MCHC,Mean Platelet,Mean WBC,Mean Basophils,Minimum Basophils,Maximum Basophils,Mean Eosinophils,Minimum Eosinophils,Mean Lymphocytes,Mean Monocytes,Maximum Monocytes,Minimum Neutrophils,Mean Albumin,Minimum Albumin,Maximum Albumin,Mean AG,Mean BUN,Mean Calcium,Mean Chloride,Mean Sodium,Mean Potassium,Mean Glucose,Minimum Glucose,Mean Creatinine,Mean INR,Mean PTT,Minimum PTT
0.034720801,0.029439793,0.010577169,0.016135701,0.01079314,0.021795669,0.020473401,0.00352483,0.009403582,0.015739589,0.003327087,0.005517564,0.03435975,0.001644432,0.006074811,0.013121133,0.023756679,0.002084461,0.010139605,0.003528306,0.008072077,0.014576437,0.004136802,0.014484354,0.007782705,0.008662381,0.001581919,0.001707876,0.001445027,0.002825473,0.011563959,0.041035739,0.003578342,0.021610903,0.007839435,0.011905768,0.02228134,0.000409342,0.000264007,0.000171382,0.005941329,0.002185562,0.005530792,0.001389532,0.005316552,0.002981898,0.010396776,0.009130377,0.010042818,0.035737586,0.020762762,0.0029195,0.002565609,0.004798027,0.004457009,0.005650191,0.013854741,0.024673164,0.013621002,0.006628582,0.005047389
0.033606773,0.029302606,0.011109916,0.014838897,0.010502007,0.02243116,0.019885253,0.003416813,0.009824934,0.015534285,0.003311871,0.005407826,0.037302019,0.001743099,0.006884737,0.01304,0.023799872,0.002014887,0.010619386,0.003268859,0.007418011,0.014227894,0.003826192,0.014947655,0.00815214,0.008907552,0.001501624,0.001644997,0.001338047,0.002859729,0.011803046,0.044343726,0.003246735,0.020801819,0.007470713,0.011647724,0.023031086,0.000418878,0.000251132,0.00016778,0.006121306,0.002171565,0.005285316,0.001241168,0.004802638,0.002395195,0.010172383,0.009035785,0.009832355,0.036740614,0.021973977,0.002864671,0.002578897,0.004959492,0.004513959,0.005872513,0.014117931,0.023677511,0.01381548,0.00638307,0.005387866
0.034231593,0.030222432,0.010814182,0.017096354,0.012135619,0.022551469,0.020185292,0.004021394,0.00971768,0.015888009,0.003922756,0.00577264,0.035652556,0.001819037,0.006264698,0.013257699,0.02402839,0.002135188,0.01074305,0.0035306,0.008584364,0.014645429,0.005290158,0.014727851,0.007946215,0.009205426,0.002190246,0.002242631,0.001810661,0.002928334,0.011915292,0.043531905,0.003600923,0.021936158,0.007938079,0.011874533,0.022827177,0.000406458,0.000285926,0.000180287,0.00632657,0.002236549,0.00518324,0.001254724,0.005215284,0.002535311,0.010364457,0.009170505,0.010012961,0.035066156,0.021845304,0.002928095,0.002762447,0.004795197,0.004607792,0.005943571,0.015935021,0.024212714,0.013673468,0.006501488,0.004843402
0.035834892,0.031657262,0.010955139,0.016543482,0.011873686,0.022528513,0.021273584,0.003790559,0.010348225,0.016425184,0.003597752,0.005556135,0.036703171,0.001787748,0.006350694,0.013417853,0.024000369,0.00212376,0.010366636,0.003443205,0.007670741,0.01396082,0.00406162,0.015217911,0.008353498,0.00932379,0.002131911,0.002209765,0.001907277,0.002967221,0.012524215,0.04386672,0.003502292,0.020921971,0.008137825,0.012149211,0.024048417,0.000415455,0.000274715,0.000181496,0.006020679,0.002149555,0.005438151,0.001352608,0.005459153,0.002730954,0.010302142,0.009165168,0.010027854,0.03609816,0.021497935,0.002931362,0.002592573,0.004778707,0.004659918,0.006975299,0.015302574,0.023882741,0.014119557,0.006565827,0.005303493
0.033828785,0.030616965,0.010677751,0.017676095,0.011996183,0.022710193,0.020740815,0.003755595,0.009690279,0.016046003,0.003961142,0.005607765,0.034893206,0.001716906,0.006507546,0.013235977,0.024583581,0.002104019,0.01119327,0.003833422,0.008263158,0.014139902,0.004911594,0.015449436,0.008676697,0.00909335,0.002161555,0.002325126,0.001936552,0.002952284,0.012109876,0.044901382,0.003687216,0.021626002,0.0081036,0.01235686,0.023335625,0.000411696,0.000294894,0.000174991,0.00624096,0.002208916,0.005707188,0.001238241,0.005049177,0.002583436,0.010496466,0.009300195,0.010233514,0.035303988,0.021658231,0.002906138,0.002579853,0.004648522,0.004613433,0.006235469,0.015554807,0.024564784,0.014371454,0.006897702,0.005530766
0.033626376,0.030484615,0.011339099,0.015810921,0.011205974,0.022743103,0.019986888,0.003450411,0.009542103,0.015563163,0.003241664,0.005471946,0.034855809,0.001676744,0.006205444,0.01300956,0.023487753,0.002032338,0.01094559,0.003725344,0.007728679,0.013715985,0.00472647,0.01581549,0.008011046,0.009010297,0.001762391,0.001959083,0.001578106,0.002814259,0.011410264,0.045453697,0.00349688,0.021628565,0.007859756,0.011737896,0.025666934,0.000431272,0.000256336,0.000179661,0.006019779,0.00215199,0.005828824,0.001439048,0.005277947,0.002636567,0.01015212,0.009075827,0.009812733,0.034635981,0.021230858,0.002870967,0.002564906,0.004623979,0.004496739,0.006428094,0.01475376,0.023761498,0.013792092,0.006364861,0.005104343
0.033353796,0.031069333,0.010657372,0.01767647,0.011894826,0.022896428,0.020751957,0.003899885,0.010032543,0.016513014,0.00391831,0.005468622,0.035684569,0.001778786,0.005959379,0.013358359,0.024228309,0.002094441,0.01085189,0.003664647,0.008336355,0.014440371,0.005909977,0.013461638,0.007897176,0.009259458,0.001869656,0.001959207,0.001506802,0.00295955,0.011688562,0.044559895,0.00341913,0.020995222,0.008024188,0.011215388,0.02431329,0.000394966,0.000300509,0.000165582,0.005980286,0.002108911,0.00525004,0.001377611,0.005581517,0.002360284,0.010377369,0.009225546,0.009957142,0.036040082,0.021705213,0.002940439,0.00267939,0.004633421,0.00456335,0.006283182,0.015484733,0.024871305,0.013920532,0.006409937,0.005161123
0.03558778,0.031160542,0.010769274,0.017161297,0.011805553,0.021738696,0.020227975,0.003819417,0.009856835,0.016161961,0.003549702,0.005592889,0.034482412,0.00176048,0.006046914,0.013214678,0.023699501,0.002131597,0.010506085,0.003234205,0.007977385,0.013906407,0.004757275,0.01438336,0.008016209,0.008604122,0.00174306,0.001899004,0.001698907,0.002873148,0.011690391,0.043175848,0.003415081,0.02103406,0.007607572,0.011657422,0.022536613,0.000406256,0.000274827,0.000165961,0.006121504,0.002188965,0.005283313,0.001225542,0.004752605,0.002801077,0.010247552,0.009093566,0.009927378,0.034528021,0.022387698,0.00290488,0.002573643,0.004996466,0.004641875,0.005615443,0.0146854,0.024899707,0.01380748,0.006553795,0.005223277
0.035760875,0.031330921,0.01105029,0.016390149,0.010904089,0.022323397,0.020397733,0.003544169,0.009652731,0.015930724,0.003582247,0.005607718,0.037300202,0.001738202,0.007008044,0.013363592,0.023900387,0.002104283,0.011298093,0.00316761,0.008033552,0.014085798,0.004417645,0.015167976,0.007842087,0.008871669,0.001684998,0.001749843,0.001466062,0.002888749,0.011839499,0.045788056,0.003368443,0.020533914,0.007854158,0.012721955,0.023087915,0.000418213,0.000268465,0.00017572,0.006068401,0.002139851,0.005131219,0.00134038,0.005480971,0.002267138,0.010297225,0.009102564,0.009972972,0.036282886,0.022715886,0.002923709,0.002744027,0.005045068,0.004554594,0.006069966,0.014266869,0.024411518,0.013855835,0.006994238,0.00551831
0.033091163,0.02956229,0.010617887,0.015614395,0.010957936,0.021249879,0.020902459,0.003377282,0.009711568,0.01562277,0.003239643,0.005389359,0.0329141,0.001669577,0.006003076,0.013023065,0.024026995,0.002004698,0.011173753,0.003491258,0.008226129,0.013958703,0.00438115,0.0150775,0.007762976,0.009166146,0.001753569,0.001790666,0.001606381,0.002864125,0.01172198,0.040419931,0.003382361,0.021431948,0.00786092,0.012112497,0.022810178,0.000411656,0.00025694,0.000165672,0.006029694,0.002112788,0.005063946,0.001329944,0.005579008,0.00240465,0.010431236,0.00923735,0.010049218,0.034833693,0.022012582,0.002887356,0.002446464,0.004610062,0.004434917,0.006305521,0.014779779,0.024241786,0.013525348,0.006405308,0.004829329
