"","Characteristic","Overall","Phenotype.A","Phenotype.B","Phenotype.C","Phenotype.D","statistical value","p value"
"scinn","N","21496","5675","7481","3119","5221","",""
"o.d","Age","68.00 (57.00-79.00)","65.00 (54.00-77.00)","69.00 (57.00-80.00)","68.00 (58.00-77.00)","69.00 (58.00-79.00)","122.576","<0.001"
"o.d","Mean HR","91.04 (80.18-102.09)","94.64 (84.78-104.64)","84.42 (74.91-94.62)","91.42 (81.14-101.86)","96.70 (85.71-108.30)","2134.136","<0.001"
"o.d","Minimum HR","71.00 (61.00-82.00)","75.00 (64.00-86.00)","67.00 (59.00-78.00)","71.00 (61.00-82.00)","74.00 (63.00-86.00)","804.404","<0.001"
"o.d","Maximum HR","116.00 (100.00-132.00)","119.00 (105.00-135.00)","106.00 (93.00-122.00)","117.00 (103.00-133.00)","125.00 (109.00-141.00)","1976.108","<0.001"
"o.d","Mean SBP","112.11 (103.63-123.36)","127.94 (118.09-138.67)","108.76 (102.07-116.44)","112.15 (104.80-121.33)","105.20 (98.36-112.54)","6945.271","<0.001"
"o.d","Minimum SBP","81.00 (70.00-93.00)","95.00 (83.00-109.00)","80.00 (71.00-90.00)","80.00 (70.00-90.00)","71.00 (61.00-81.00)","5141.400","<0.001"
"o.d","Maximum SBP","150.00 (133.00-168.00)","167.00 (152.00-185.00)","141.00 (127.00-155.00)","152.00 (136.00-168.00)","144.00 (129.00-161.00)","3670.644","<0.001"
"o.d","Mean DBP","61.11 (55.30-67.66)","70.65 (65.87-76.59)","58.39 (53.81-63.10)","60.56 (55.73-65.77)","57.01 (51.95-62.00)","7839.547","<0.001"
"o.d","Minimum DBP","41.00 (34.00-50.00)","51.00 (43.00-58.00)","41.00 (34.00-47.00)","40.00 (33.00-47.00)","35.00 (27.00-42.00)","4947.937","<0.001"
"o.d","Maximum DBP","91.00 (78.00-104.00)","100.00 (89.00-116.00)","84.00 (73.00-95.00)","92.00 (80.00-104.00)","89.00 (77.00-103.00)","2525.251","<0.001"
"o.d","Mean MAP","75.64 (69.41-83.20)","88.23 (82.09-95.01)","72.67 (67.87-77.39)","75.54 (70.30-81.13)","70.73 (65.88-75.83)","9163.886","<0.001"
"o.d","Minimum MAP","54.00 (46.00-63.00)","66.00 (58.00-76.00)","53.00 (47.00-60.00)","53.00 (46.00-60.00)","47.00 (38.00-54.00)","5817.756","<0.001"
"o.d","Maximum MAP","105.00 (93.00-120.00)","118.00 (107.00-133.00)","97.00 (87.00-108.00)","106.00 (95.00-120.00)","102.00 (90.00-116.00)","3762.857","<0.001"
