"","Characteristic","Overall","Phenotype.0","Phenotype.1","Phenotype.2","Phenotype.3","statistical value","p value"
"scinn","N","33177","8158","12240","5005","7774","",""
"o.d","Age","68.01 (56.90-78.82)","63.85 (52.34-76.21)","68.70 (58.37-78.78)","70.31 (59.54-80.45)","69.23 (58.19-80.16)","568.809","<0.001"
"o.d","Mean HR","85.17 (76.08-95.70)","89.24 (79.95-99.16)","79.90 (72.20-87.80)","86.79 (77.20-97.32)","90.63 (80.41-101.97)","3557.675","<0.001"
"o.d","Minimum HR","67.00 (59.00-77.00)","70.00 (61.00-80.00)","63.00 (56.00-71.00)","69.00 (60.00-78.00)","70.00 (60.00-81.00)","1743.594","<0.001"
"o.d","Maximum HR","109.00 (95.00-124.00)","114.00 (101.25-128.00)","100.00 (89.00-112.00)","112.00 (98.00-126.00)","117.00 (102.00-133.00)","3707.595","<0.001"
"o.d","Mean SBP","114.62 (106.31-125.56)","131.08 (121.67-140.90)","112.09 (105.67-119.39)","113.58 (106.11-122.72)","107.41 (100.74-114.76)","10899.221","<0.001"
"o.d","Minimum SBP","85.00 (76.00-94.00)","96.00 (87.00-106.00)","85.00 (77.00-91.00)","84.00 (76.00-91.00)","77.00 (68.00-85.00)","7348.069","<0.001"
"o.d","Maximum SBP","151.00 (137.00-168.00)","169.00 (156.00-184.88)","145.00 (133.00-158.00)","151.00 (138.00-166.00)","144.00 (131.00-158.00)","6368.193","<0.001"
"o.d","Mean DBP","61.04 (55.24-67.46)","70.58 (64.86-76.78)","58.28 (53.55-62.79)","61.12 (55.84-66.53)","57.90 (52.63-63.21)","9795.743","<0.001"
"o.d","Minimum DBP","42.00 (36.00-48.00)","50.00 (44.00-56.00)","41.00 (36.00-46.00)","41.00 (35.00-47.00)","38.00 (31.00-44.00)","6913.302","<0.001"
"o.d","Maximum DBP","92.00 (80.00-106.00)","104.00 (93.00-119.00)","84.00 (74.00-95.00)","95.00 (83.00-109.00)","90.00 (78.00-103.00)","6014.603","<0.001"
"o.d","Mean MAP","75.83 (70.43-82.38)","86.85 (82.00-92.64)","73.61 (69.53-77.63)","75.08 (70.47-80.18)","71.79 (67.11-76.47)","13569.508","<0.001"
"o.d","Minimum MAP","55.00 (48.00-61.00)","63.00 (57.00-69.00)","54.00 (48.00-59.00)","53.00 (47.00-59.00)","49.00 (40.00-55.00)","7902.734","<0.001"
"o.d","Maximum MAP","107.00 (96.00-122.00)","121.00 (110.00-136.00)","100.00 (92.00-111.00)","109.00 (97.00-123.00)","104.00 (93.00-119.00)","5536.802","<0.001"
"o.d","Mean RR","19.19 (16.93-21.93)","19.79 (17.46-22.48)","17.79 (16.08-19.88)","20.15 (17.81-22.75)","20.70 (18.02-23.79)","3451.354","<0.001"
"o.d","Minimum RR","11.00 (9.00-14.00)","12.00 (10.00-14.00)","11.00 (8.50-13.00)","12.00 (9.50-14.00)","12.00 (9.00-14.00)","954.916","<0.001"
"o.d","Maximum RR","29.50 (26.00-34.00)","31.00 (26.50-36.00)","27.00 (24.00-31.00)","31.00 (27.00-36.00)","32.00 (28.00-36.00)","3000.922","<0.001"
"o.d","Mean Temperature","36.87 (36.63-37.17)","37.02 (36.77-37.36)","36.82 (36.59-37.08)","36.87 (36.66-37.15)","36.78 (36.52-37.09)","1645.985","<0.001"
"o.d","Minimum Temperature","36.33 (35.89-36.56)","36.44 (36.17-36.67)","36.33 (35.72-36.56)","36.39 (36.11-36.56)","36.28 (35.61-36.50)","1463.728","<0.001"
"o.d","Maximum Temperature","37.50 (37.11-38.11)","37.72 (37.22-38.44)","37.39 (37.06-37.90)","37.44 (37.11-38.06)","37.44 (37.06-38.11)","856.098","<0.001"
"o.d","Mean PO2","108.81 (72.00-170.00)","104.00 (71.00-148.69)","160.85 (99.00-232.03)","79.62 (56.64-109.50)","93.81 (63.00-127.89)","5587.933","<0.001"
"o.d","Minimum PO2","65.00 (42.00-93.00)","66.00 (44.00-92.00)","81.00 (56.00-115.00)","50.00 (37.00-70.00)","50.00 (37.00-73.00)","3842.676","<0.001"
"o.d","Mean PCO2","40.61 (36.50-45.55)","39.60 (35.67-44.00)","40.33 (37.00-43.67)","51.33 (45.50-59.87)","38.00 (33.80-42.50)","7679.046","<0.001"
"o.d","Minimum PCO2","35.00 (31.00-40.00)","35.00 (31.00-39.00)","35.00 (31.00-39.00)","45.00 (39.00-52.00)","32.00 (28.00-37.00)","7356.609","<0.001"
"o.d","Maximum PCO2","47.00 (41.00-54.00)","44.00 (39.00-51.00)","46.00 (41.00-52.00)","57.00 (49.00-72.00)","45.00 (38.00-52.00)","3970.853","<0.001"
"o.d","Mean FiO2","51.67 (45.00-65.00)","50.00 (43.33-61.31)","55.00 (46.67-66.67)","50.00 (43.33-63.33)","52.22 (45.00-66.00)","455.676","<0.001"
"o.d","Minimum FiO2","40.00 (40.00-50.00)","40.00 (40.00-50.00)","40.00 (40.00-50.00)","40.00 (40.00-50.00)","40.00 (40.00-50.00)","78.314","<0.001"
"o.d","Maximum FiO2","70.00 (50.00-100.00)","60.00 (50.00-100.00)","100.00 (50.00-100.00)","60.00 (50.00-100.00)","70.00 (50.00-100.00)","1039.657","<0.001"
"o.d","Mean Base Excess","-0.50 (-3.00-1.14)","-0.33 (-2.50-1.00)","-0.33 (-2.00-1.00)","2.19 (0.00-5.67)","-3.87 (-7.00--1.00)","8135.756","<0.001"
"o.d","Minimum Base Excess","-2.00 (-6.00-0.00)","-2.00 (-5.00-0.00)","-2.00 (-5.00-0.00)","0.00 (-1.00-4.00)","-7.00 (-11.00--3.00)","7421.067","<0.001"
"o.d","Maximum Base Excess","1.00 (-1.00-4.00)","1.00 (0.00-3.00)","1.00 (0.00-3.00)","4.00 (1.00-8.00)","-1.00 (-4.00-1.00)","5954.130","<0.001"
"o.d","Mean RBC","3.38 (2.99-3.85)","3.63 (3.17-4.11)","3.41 (3.06-3.81)","3.44 (3.00-3.94)","3.10 (2.73-3.50)","2534.720","<0.001"
"o.d","Maximum Hemoglobin","11.10 (9.80-12.60)","11.80 (10.40-13.30)","11.50 (10.30-12.80)","10.30 (9.10-11.70)","10.30 (9.10-11.70)","2944.942","<0.001"
"o.d","Mean RDW","14.93 (13.79-16.66)","14.45 (13.52-15.80)","14.32 (13.40-15.57)","16.02 (14.60-17.73)","16.23 (14.82-18.10)","5042.882","<0.001"
"o.d","Mean MCH","30.18 (28.63-31.60)","30.20 (28.75-31.62)","30.54 (29.26-31.80)","28.67 (26.54-30.37)","30.30 (28.70-31.95)","2069.471","<0.001"
"o.d","Mean MCV","91.20 (87.25-95.60)","90.78 (87.00-95.00)","90.88 (87.33-94.75)","90.43 (85.00-95.33)","92.75 (88.45-98.00)","606.180","<0.001"
"o.d","Mean MCHC","32.92 (31.82-33.93)","33.12 (32.17-34.07)","33.48 (32.57-34.37)","31.50 (30.45-32.48)","32.55 (31.50-33.53)","5701.846","<0.001"
"o.d","Mean Platelet","176.00 (123.67-240.50)","184.94 (132.75-245.75)","164.40 (123.25-219.00)","220.33 (159.33-301.29)","158.00 (98.25-232.70)","1563.879","<0.001"
